id,name,age,income,city
1,Alice,25,50000.0,NY
2,Bob,30,60000.0,LA
3,Charlie,35,70000.0,NY
4,David,40,80000.0,SF
5,Eve,22,45000.0,LA
6,Frank,28,52000.0,SF
7,Grace,33,75000.0,NY
8,Hank,45,90000.0,LA
9,Ivy,29,58000.0,SF
11,Kate,27,48000.0,LA
12,Liam,38,82000.0,SF
13,Mia,24,47000.0,NY
14,Noah,36,76000.0,LA
15,Olivia,23,46000.0,SF
16,Paul,34,73000.0,NY
17,Quinn,26,51000.0,LA
18,Rachel,39,81000.0,SF
19,Sam,32,69000.0,NY
20,Tina,21,44000.0,LA
21,Uma,37,78000.0,SF
22,Vincent,41,85000.0,NY
23,Wendy,20,43000.0,LA
24,Xander,42,88000.0,SF
25,Yara,43,89000.0,NY
26,Zack,44,92000.0,LA
27,Aaron,46,95000.0,SF
28,Bella,19,42000.0,NY
29,Carl,47,97000.0,LA
30,Diana,48,98000.0,SF
31,Ethan,49,99000.0,NY
32,Fiona,50,100000.0,LA
33,George,51,101000.0,SF
34,Helen,52,102000.0,NY
35,Ian,53,103000.0,LA
36,Judy,54,104000.0,SF
37,Kevin,55,105000.0,NY
38,Linda,56,106000.0,LA
39,Mark,57,107000.0,SF
40,Nina,58,108000.0,NY
41,Owen,59,109000.0,LA
42,Pam,60,110000.0,SF
43,Quincy,61,111000.0,NY
44,Rita,62,112000.0,LA
45,Steve,63,113000.0,SF
46,Tara,64,114000.0,NY
47,Ulysses,65,115000.0,LA
48,Vera,66,116000.0,SF
49,Will,67,117000.0,NY
